|firstName|middleName|lastName|birthDate|startDate|phoneNumber|emailAddress|mailingAddress|interests
|Maxine|Billington|O’Doyle|1981-07-02|2015-07-21|6239843295|Maxine@gmail.com|833 N Jekyl Ave, Tucson, AZ 85716|All types of dancing!
|Thomas|Patrick|O’Doyle|1989-07-24|2009-04-02|6022345521|Filbert@gmail.com|123 N John Lane, Long Beach, CA 92122|Anything.
|James|Michael|Montgomery|1957-07-12|2012-08-09|6194504340|James@gmail.com|7068 Hydle St, San Diego, CA 92122|All dances. I'm interested in all dances.
|Kendo|Maro|Takamoto|1943-09-17|2011-09-01|4342118900|Take@yahoo.com|4342 Prefecture Ln, Tokyo, JA 00998|Wants to learn Karate!
|Jamie|Lynn|Siegler|1980-10-12|2008-02-14|3328784534|Jamie@hollywood.com|1234 Paradise Road, Beverly Hills, CA 92122|Wants to increase her star power.
|Jamie|Middle|Curtis|1963-02-02|2014-06-06|4452324567|JC@hollywood.com|3451 Laurel Canyon Rd, Beverly Hills, CA 90210|Will become a teacher soon in order to show people how to dance like in True Lies.
|Arnold|B|Schwartzenneger|1957-03-04|2014-06-05|1982374234|terminator@future.com|4556 No your beeez st, Anywhere, TX 83774|Just shopping.
|Jack|Patrick|Nicholson|1960-04-09|2014-04-01|1928741255|Shiner@colorado.com|3452 Honeydew Ln, Seattle, WA 23421|Dont like fishing.
|Amy|B|Adams|1963-02-01|2014-06-03|4398571234|spacey@arrival.com|3452 Ultra cool way, iPhoneville, VA 32422|Trying something new.
|Keanu|Matrix|Reeves|1963-02-02|2014-06-02|4853929283|Whoa@inthematrix.org|2342 Vermont ave, iPhoneville, VA 28234|Wants to bow down.
|Blake|Marie|Lively|1963-02-03|2014-06-01|9823472344|minority@report.gov|5673 Michigan St, iPhoneville, VA 23872|Michael Jackson challenged me.
|Tom|Gun|Cruise|1963-02-04|2014-06-00|1238474792|topgun@yourhouse.com|2398 Texas St, iPhoneville, VA 23823|Need to win super dance off.
|Steven|E|Colbert|1963-02-05|2014-06-01|2346239495|americonedream@bjs.com|2834 Pixey Way, iPhoneville, VA 32924|Wife makes me do it.
|Pam|Bee|Beasley|1963-02-06|2014-06-02|5483820123|officesec@theoffice.youwish|4566 Pensyllvania Ave, Washington D.C., 23445|Husband makes me.
|Angela|Q|Martin|1963-02-07|2014-06-03|2837478229|officeB@theoffice.youwish|2344 Variable Hwy, Warshington D.C. 76432|Preparing for a wedding.
|Quincy|R|Jones|1963-02-08|2014-06-04|3298469123|fatherofall@redeyeball.org|7654 Done bout diz house, On diz St, InDizState, 23443|Gathering social skills.
|Kevin|E|Adams|1963-02-28|2014-06-30|2323949328|hi@gopackers.team|4689 Fourth Ave, Redwood City, UT 83432|Have extra money.
|Johnny|B|MacDon|1963-02-27|2014-06-29|3452832342|Johnny@laafb.af.city|123 E 2 st, Inglewood, CA 92143|The bizomb needs to learn some new dance moves.
